,Artist,Lyrics,Key,Genre,Music,Song,Title,Visits,title-en
10,වික්ටර් රත්නායක,ආදරණීය දිනය ඇල්විස්,C major | Beat,චිත්‍රපට ගීත,වික්ටර් රත්නායක,අඳුර බිඳින්නට රැයක් දවාලු ලන්තෑරුම් නිවලා තිමිරයෙ තිරකඩ අරුණෙහි බිඳහැර හිරු තව දවසක් ගෙනැවිල්ලා// මතකය නම් වූ මළපොත පෙරලා මළගිය ඊයේ සිහිපත් කළ මැන පැතූ පැතුම් අත් මිට මොලවාගත් දෑතෙහි දසැඟිලි දිගහැරලනු මැන එහි මොනවද ඇත්තේ කිසිත් නැත හිස් බවෙකිය ඇත්තේ සමුදුර ගිරිහෙල් දෙරණ තලා මැද යෞවන විය පියවර තබනා සඳ හිස්වන හදවිත සපුරා ලන්නට මියැසි විරාමය යළි පැමිණි ඇත අරුමෙකි පැවසෙන්නේ එපමණයි පිළිසරණය වන්නේ,අඳුර බිඳින්නට,1806,andura bidinnata
11,වික්ටර් රත්නායක,ආදරණීය දිනය ඇල්විස්,Key,ගෝල්ඩන් ඕල්ඩීස්,වික්ටර් රත්නායක,අපි හැඟුම් වලට ඉඩදී මොහොතක්‌ ඉඩ ලබාගනිමු තරමින් වියතක්‌ හඳ පානේ මද අඳුරේ අත් පටලා යමු ආයේ අත් පටලා යමු ආයේ ඔබ ඔබෙ හෙවණැල්ලෙන් මිදී මම මගෙ හෙවණැල්ලෙන් මිදී// අවුදින් හිමින් රහසින් මුමුණා හඳ පානේ මද අඳුරේ හඳ පානේ මද අඳුරේ…… හිරකර හසරැල්ලෙන් හැඩුම් අපි හිනැහෙමු සපුරා පැතුම්// මතු ආත්මයේ හමුවෙන පැතුමින් යමු වෙන්වී හිමිදිරියේ හඳ පානේ මද අඳුරේ……,අපි හැඟුම් වලට,20041,api hangum walata
12,මිල්ටන් මල්ලවරාච්චි,ආදරණීය දිනය ඇල්විස්,A major,පැරණි පොප්ස්,ක්ලැරන්ස් විජේවර්ධන,අවසර නැත මට ඔබෙ අත ගන්නට බැමි බැඳ ඇත ලොව සතර දෙසේ එනමුදු උපදින හැම භවයකදිම මතු ඔබ හිමිකර ගනිමි ලඳේ බමරෙකු වන්නට නොහැකිව ලතවන මා අභියස ඔබ නෙළුම නොවේ උල්පත වන්නට නොහැකිව ලතවන මා අභියස ඔබ සයුර නොවේ ඔහු රිදවන්නට - ඔහු හඬවන්නට බැරිකම මිස ඔබෙ - සිහින ලොවේ ඔබ කැඳවන්නට - ඔබ සතපන්නට මා හද තුල ඉඩ නැතිව නොවේ,අවසර නැත මට,2459,awasara netha mata
13,ඇන්ජලින් ගුණතිලක,ආදරණීය දිනය ඇල්විස්,Key,පැරණි පොප්ස්,අර්නස්ට් සොයිසා,බංගලි වළලු ගෙන එන්නයි පොරොන්දුව දුහුලැල් සාරි ගෙන එන්නයි පොරොන්දුව රන් මිණි මාල පළඳන්නයි පොරොන්දුව එය ඉටු කෙරෙනා කල නාවද ඉතින් තව// යල මහ දෙක වැඩ කරලා ගොයම් කපා බක් මහ එන්න පෙර බැඳෙමුයි තැවෙන්නෙපා ඉක්මන් කතා කී ඇස් දෙක අඬන්නෙපා දැක්මත් සහනයකි ඔබ මගහරින්නෙපා දෙවැට දිරා ගිය රුක් අතු සෙවණ යට ඕවිට අසල දිය උතුරන පොකුණ පිට තාමත් දැණෙනවා ඇඟ ගෑ සුවඳ මට නවතිනු බැරි වුණත් එනු මස්සිනේ ගෙට,බංගලි වළලු,757,bangali walalu
14,අමරසිරි පීරිස්,ආදරණීය දිනය ඇල්විස්,Key,"සම්භාව්‍ය, ඉල්ලීම",අමරසිරි පියරිස්,චාරු දේහේ නුරා මා දෑසේ මැවේ රාත්‍රියේ රෑ සඳේ ඈ සිනා ශ්‍රීය දේ චාරු දේහේ නුරා පිහින පීනා රසෝගේ සරාගී විලේ රාත්‍රි යාමයේ// ඈගේ දෑසේ ප්‍රබෝධේ නුරා ගී නැගේ ජීවිතේ යෞවනේ ප්‍රේමයේ මී වනේ සීත මිහිදුම් වළාවෝ වෙළීලා සඳේ තාරකාවේ// මිහි තලාවේ තුසීතේ මැවේ මා හදේ ජීවිතේ යෞවනේ ප්‍රේමයේ මී වනේ,චාරු දේහේ නුරා,1713,charu dehe nura
15,මර්වින් පෙරෙයිරා,ආදරණීය දිනය ඇල්විස්,Key,පැරණි පොප්ස්,මර්වින් පෙරෙයිරා,දෙදෙනා පෙරදා හමුවී නොදොඩා නොබලා වෙන් වූ තැන් කරා ආයෙමත් පැමිණිලා// දෙදෙනා දිගු කාලයක් ගෙවී ගියේ එක මොහොතක් ලෙසින්නේ ළඳේ ඒ මොහොත දැන් දිගු කාලයක් ලෙස ආයෙත් ගෙනල්ලා තියේ අද මේ කියූ දේ ඊයේ වුණා නම් අද ඊයේ වේවී ළඳේ ඔබ ආදරෙන් සිනාසුනත් අද අලුතින් උපන් මේ ලොවේ විස ගෑවුනත් මධු පානයක් ලෙස ඈ මා ළඟින් මිහිරියේ අසනු සමා වී ආයේ පමාවී කිසිදාක නොයෙනූ ළඳේ,දෙදෙනා පෙරදා,1300,dedena perada
16,සුනිල් එඩිරිසිංහ,ආදරණීය දිනය ඇල්විස්,Key,පැරණි පොප්ස්,රොහාන වීරසිංහ,දෑවැදි දෙන්නට රන්මසු පොදි නැති ගෙදරට බර වුණු බාල නඟේ නුඹ ගෙනියන්නට ගමෙත් කෙනෙක් නැහැ රටෙත් කෙනෙක් නැහැ බාල නඟේ // විරසක වීලා විරහ අපලයෙන් නුඹෙ ඉරණම නුඹ ළඟට නොයේ නිදිබර දෑසයි දැලි ගෑ මුහුණයි ලිප මුල්ලේ යෞවනය ගෙවේ රන්දම් පැලඳිය යුතු ගෙල වටකර නවගුණ වැල පෝ දිනට බැඳේ දීගෙක ගියදා නුඹට දැනේවී තනිකඩකම කොච්චරද අගේ,දෑවැදි දෙන්නට,760,dewedi dennata
17,වික්ටර් රත්නායක,ආදරණීය දිනය ඇල්විස්,Key,"ගෝල්ඩන් ඕල්ඩීස්, දේවානුභාවයෙන්",වික්ටර් රත්නායක,දෙව්රම් වෙහෙරේ හිමි වැඩ සිටි සමයේ මා සිටියානම් සමිදුනි ඔබ පිළිසරණ පතා මම‍ එමි බවදුරු කතර ගෙවා සහසක් දොම්නස් දුක් ගිනි අතරේ දැවෙන මහද සිතිවිලි ගිණි අදුරේ සමිද ඔබේ පිළිරුව දුටු පමණින් නිවී නිවී යන අරුමය කිමදෝ ජීවමානවම හිමි දැක ගන්නට මා නෙත කල පින් මද බව වැටහිනි එහෙයින් හිමි අනුරුව අභියස සිට බවුන් වඩමි ‍මෙත් බුදුන් දකින්නට,දෙව්රම් වෙහෙරේ,1280,dewram wehere
18,මිල්ටන් මල්ලවරාච්චි,ආදරණීය දිනය ඇල්විස්,G major,පැරණි පොප්ස්,වික්ටර් රත්නායක,දිනෙක රන් සළු පළඳා සඳ නැගි මේලාවෙන් පැමින ඔබ ගෙනයමි කුමරියෙ පෙම් දෝලාවෙන් // ඇසුරු කළ කම්පන හා සැනසිලි පසමිතුරෑ ගෙවුනු යෙෳවන විය තනි නොතනියෙ උන් අයුරෑ නැවත නොලිහෙන ලෙස රැහැනින් බැඳ දා පවුරු සතුට ගෙන දිය හැකි ඔබ හැර ඇතිදෝ කවුරු වියලි මග මහ වැලි කාන්තාර පසු කරවා පවස සංසිඳවන ලෙස දිය උල්පත හරවා පරව ගිලිහෙන තුරු සියොළඟ කළු සළු පොරවා ඔබය දිය යුතු හිස් වන විට දිවි විත පුරවා,දිනෙක රන්සළු,1109,dineka ransalu
19,මර්වින් පෙරෙයිරා,ආදරණීය දිනය ඇල්විස්,Key,"ගෝල්ඩන් පොප්, ඉල්ලීම","අනුරාධ අබයාසිංහ, මර්වින් පෙරේරා",දියළුම දිය ඇලි දිය රැල හා ගල ගල යයි සමුදුර සොයලා හද උපදී ආදරේ සැනසුම් තෙර සොයලා// අද නැති දේ හෙට මා සොයයි හෙට හමු වී යළි ඈ සොයයි ඔබ හමුවේ හද ගී ගයයි ඔබ ඒ ගීතයෙ රාවයයි සසර පුරා ඇසු ගීතයේ රසයේ කිමිදී පැතුසේ සඳවත කුමටද ඔබ නැතිදා හිරු නැග පල නැත ඔබ නැතිදා සඳ හිරු හා ආදරේ මොකටද ඔබ නැති දා පියබර සිතුවිලි මතු අමුණයි සවණට සැනසිලි හඬ මුමුණයි කැළඹෙන මේ ලෝකයේ සහනය ඔබ පමණයි //,දියළුම දිය ඇලි,822,diyaluma diya eli
20,මිල්ටන් මල්ලවරාච්චි,ආදරණීය දිනය ඇල්විස්,A minor,පැරණි පොප්ස්,ක්ලැරන්ස් විජේවර්ධන,එදා රෑ ගුවන් තොටුපොලේ දී මා වෙන් වී ගියේ සිතකින් නොවේ නෑ සිය මිතුරන් පැමිනීලා ආසිරී සුභ පැතුම් පැතුවා ඔබ නාවෙ ඇයි මිහිරියේ මේ වන තුරු රහසක් වී ලා මා සිතේ යම් දෙයක් තිබුනා එය කීමටයි ලතැවුනේ,එදා රෑ,4082,eda rae
21,"අමිතා වෙඩිසිංහ, මර්වින් පෙරේරා",ආදරණීය දිනය ඇල්විස්,Key,"ඩුවට්ස්, ගෝල්ඩන් පොප්",මර්වින් පෙරෙයිරා,එක මොහොතක් ඔබ සෙවණේ හිඳින්න‍ට තරම් කල්පයකින් අසුරු සැණක් පමණ නැත වරම්// කඳු ගිරිහෙල් රළු බොරලන පිය මග මනිමි අහසයි පොළොවයි එක්වෙන දවසක් දනිමි// මල් පොකුරක එක නටුවකි ඒ බව සැබවි// එක හිත ගැන හිත් දෙකකින් නොසිතනු මැනවි පිළිවෙලක‍ට නැති ලෙස තරු අහසෙහි අතුරා සඳ පමණක් සළුපිලි ඇඳ එහි වත සපුරා// මග සළකුණු දක්වා හිනැහෙන එලි පතුරා// බැසයනු මිස නොරැඳෙනු මැන ගඟ දිය උතුරා,එක මොහොතක්,1238,eka mohothak
22,"බන්දුල විජේවීර, එඩ්වඩ් ජයකොඩි, සුනිල් එඩිරිසිංහ",ආදරණීය දිනය ඇල්විස්,Key,චිත්‍රපට ගීත,එච්.එම්.ජයරත්න,එක යායේ කකා වැටී එකා වගේ එකට ඉදී එක පවුලේ උපන් ලෙසේ කල ආරක්ෂා නාස් ලනුව දමනවාලු කරත්තයක බදිනවාලු අපට හිටිය ලපටි කැකුළු නාඹර වස්සා ගෙට ආකල ටිකිරි ලියා නුඹ වේවිලු කබරගොයා ලිදට ගියත් අවසරයක් ගන්නට වේවී දල ගලවා අතේ තියා නුඹ නටවයි ඒ ළමයා පනවාලා දරුණ දණ්ඩ බන්ධන නීති වලට වැටුනු එකායකා වලටම ඇදගනු මිසකා වලෙන් උඩ ට එන්නට අත දෙන්නට කැමති නෑදෑහිතවතෙක් නැති ඒගැන හිතුවොත් යෙහෙකි කසාදෙ නම් කසාය හරි තිත්ත බෙහෙතකි,එක යායේ කකා,3106,eka yaye kaka
23,සෝයාසා ගැන අදහස් දක්වන්න,ආදරණීය දිනය ඇල්විස්,Key,පැරණි පොප්ස්,ආනන්ද ගමගේ,එකම මගක පියවර මැන යන්නයි එකම බිමක සෙවනැළි පැටලෙන්නයි සෙනේ දියෙන් මීවිත පිරවෙන්නයි මගේ පැතුම ඔබ මට හිමිවෙන්නයි// වැලේ පිපුණු මල නොවේ වැලට බර බිඟුන් සරාවී බැලුම් හෙලා හිතේ රැඳුණු පෙම් නොම දෙන් රටකට// මගේ ලොවින් පිට නොයන් පලා// මගේ ලොවට සඳ ඔබේ සිඟිති මුව අගින් එබේවී හැඟුම් මවා ඔබේ පිනට මතු මගේ ගෙපැල ළඟ// කුසුම් පිපේවා පවන් සලා//,එකම මගක,1509,ekama magaka
24,ප්‍රියා සූරියසේන,ආදරණීය දිනය ඇල්විස්,Key,පැරණි පොප්ස්,ප්‍රියා සූරියසේන,එකම වීදියේ දෙතුන් වතාවක් එහා මෙහා අපි ඇවිද ඇතී බිමට නැමුණු මල් අතු ඉති අතරේ අපේ කතාවන් රැඳී ඇතී සුදු හසඟන සේ හසරැළි ඉහලා හඳ පායන සේ හද ගිණි නිවලා ඔබ මා සුරතේ දසඟිලි පටලා දොඩමළු වීලා මට ඉඟි කරලා හැන්දෑ යාමේ මා අත හැරලා යන්නී ඔබ ඔබේ කුටියට පෙරලා කවුළුව අතරින් හසරැලි එළලා මම යමි මගේ හිත ඔබ ළඟ තියලා තනි යහනේ මා කෙසේ සිතන්නේ මා සිත ඔබේ ළඟ නොවෙද තියෙන්නේ ඔබට හිතෙන දේ හිතට කියාදී හෙට එන විට යලි රැගෙන වරෙන්,එකම වීදියේ,1152,ekama weediye
25,"අංජලින් ගුණතිලක, එච්.ආර්.ජෝතිපාල",ආදරණීය දිනය ඇල්විස්,A minor | Beat,"ඩුවට්ස්, ගෝල්ඩන් පොප්, ඕල්ඩ් පොප්ස්",පී.එල්.ඒ.,හෝ…හෝ හො හෝ…හෝ හෝ හෝ…. ඈත දිලිසෙන හිරු සඳු රන්තරු රහසේ කීවා මට ඔබ ගැන තොරතුරු මගේ නෙත් යුග මතු පියවෙන තුරු ආදරෙයි මා ආදරෙයි// ළා තණ නිල්ලේ… පිණි කඳුළැල්ලේ මා ඔබ දුටු ඒ ප්‍රේම ලෝකේ// දෑස දෑසක් සොයා තනි වූ දිනේදි මධු සඳ රැල්ලේ සතුටු සඳැල්ලේ වාසනාවේ අමිල උදාවේ සීත සුළ‍ඟේ වෙලී මතු හමුවුණාවේ,ඈත දිලිසෙන,857,etha dilisena
26,ප්‍රියා සූරියසේන,ආදරණීය දිනය ඇල්විස්,G major,පැරණි පොප්ස්,ප්‍රියා සූරියසේන,හෙට දවසේ අප දෙදෙනා අද වාගෙම හමුවිය යුතුවේ අද දවසේ මවෙත ගෙනා මිහිර හෙටත් ගෙන ආ යුතු වේ// කිසි වෙනසක් නැති එකම දෙයක් ඇත එය මා හද රැදි ආදරයි මගෙ ජීවිතයම නෞකාවක් නම් එය ඔබ පැදයන සාගරයයි අද සුපිපෙන මල හෙට නොපිපේවී ලෝකය දිවයයි වෙනස් වෙලා එලෙස වෙනස්‍වන ලොවෙහි අළුත්වන් ආදරයම මම ඉදිමි බලා,හෙට දවසේ,1672,heta dawase
27,මිල්ටන් මල්ලවරාච්චි,ආදරණීය දිනය ඇල්විස්,D major,නොමැත,ක්ලැරන්ස් විජේවර්ධන,හිමින් සැරේ පා නගනා දුවේ හර්ෂනී සිනා සිසී ඳඟ කරනා දුවේ හර්ෂනී දුවේ හර්ෂනී ජීවිතයේ මාලිගාව සතුට පුරා දී මනාව වාසනාව මට ගෙනාව කැකුළු සුවඳ කිරි සිනාව මල් සුවඳයි පින් සුවඳයි රෝස මලක පාට ගෑව ආකාසේ හැන්දැවක ඈත ඇදෙන කුරුළු රෑන ගයන ගීත ඉල්ලාගෙන මුමුනන්නම් නළවන්නම්,හිමිනේ සැරේ පා නගනා,597,himinsere paa nagana
28,සුනිල් එඩිරිසිංහ,ආදරණීය දිනය ඇල්විස්,Key,ක්ලැසික්,වික්ටර් රත්නායක,හිසේ ගිනි ඇවිලෙතේ පසේ බුදුවරු නැතේ ඇසේ තෙත ඇත හිතේ පිසින්නේ කවුරුදෝ// කඳුළු දනව්වේ උල්පතින් හඬන හැඬුම් ගංගා ගලා ඒ ඉවුරේ මෙසේ ඒ ඉවුරේ මෙසේ ලොවේ අය දිව යතේ යුගෙන් යුගේ අත් වැල් බැඳී යදම් වැලක් විලසින් ඇදී නෑ නිවුණේ සදා නෑ නිවුණේ සදා මිනිස් කම මෙදියතේ,හිසේ ගිනි ඇවිලෙතේ,771,hise gini awilethe
29,මලනි බුලත්සිංහල,ආදරණීය දිනය ඇල්විස්,Key,පැරණි පොප්ස්,එච්. ජයවර්ධන,කන්ද කෙන්ද කරනු පිණිස කන්දට ගරහාලා කෙන්ද කන්ද පාමුල ළඟ සිටියලු තනි වීලා අන්ද මන්ද ගණ අදුරේ කෙන්ද පටලැවීලා කන්ද කඩා වැටේ සිතූ කෙන්ද බලාපල්ලා ගහේ පිපුණ මල් සේරම බඹරුන්ටත් දීලා බලා හිඳී ගසක් ඔහේ සුළගේ හිනැහීලා බඹරු එතත් දෙඹරු එතත් ගහ නැහැ කැළඹීලා ඔහේ සිනා සෙනු මිස විහඟුන්ගේ ගී අහලා කුණාටු සුළි සුළං වැදී ගහකොල පෙරලාවි මුල හොඳනම් ගසක් ළඟදි කුණාටු පරදීවී ගහේම මල් බුදු පුදටත් නෙලා රැගෙන යාවී ඒ ඈයෝම ඒ ගහේම මල් බිම පාගාවී,කන්ද කෙන්ද,1578,kanda kenda
30,මර්වින් පෙරෙයිරා,ආදරණීය දිනය ඇල්විස්,Key,නොමැත,මර්වින් පෙරෙයිරා,කතරක තනි වී ඔබ යන අයුරු පෙනි පෙනී හිම සිළ මුදුනත සිටියද මහද ගිනි ගනී ගිම්හානය පැමිණි එක් තැනම නොම රැඳේ පැමිණෙන දුක් පැණි රස බව නොසිතුණිද ළඳේ සඳ නොදන්න නමුදු සඳට එලිය හිරුගෙනී ඔබ නොදන්න නමුදු ඔබට සෙවණ මම දෙමි... // සෙනෙහස හද තුල උතුරා ගලනු දැනි දැනී තව විමසන සිරිතට නිහඬවම හිනැහෙමි විසල් තුරු නුදුන් පල නැත නොපිපුණ කැකුළු දසන් දෙතිස කුමටද නැති විට මුව මුකුළු... // ගඟක් ලෙස ගලා විත් නැමි නැමී දඟ වැදී මගේ දෙපා සිපගනු මැන සිහිල සිතට දී,කතරක තනි වී,2647,katharaka thaniwee
