Artist,Lyrics,Key,Genre,Music,Song,Title,Guitar,Visits
Victor Rathnayaka,Premakeerthi De Alwis,C major | Beat,Movie Songs,Victor Rathnayaka,අඳුර බිඳින්නට රැයක් දවාලු ලන්තෑරුම් නිවලා තිමිරයෙ තිරකඩ අරුණෙහි බිඳහැර හිරු තව දවසක් ගෙනැවිල්ලා// මතකය නම් වූ මළපොත පෙරලා මළගිය ඊයේ සිහිපත් කළ මැන පැතූ පැතුම් අත් මිට මොලවාගත් දෑතෙහි දසැඟිලි දිගහැරලනු මැන එහි මොනවද ඇත්තේ කිසිත් නැත හිස් බවෙකිය ඇත්තේ සමුදුර ගිරිහෙල් දෙරණ තලා මැද යෞවන විය පියවර තබනා සඳ හිස්වන හදවිත සපුරා ලන්නට මියැසි විරාමය යළි පැමිණි ඇත අරුමෙකි පැවසෙන්නේ එපමණයි පිළිසරණය වන්නේ,andura-bidinnata,INTRO | C | - | C | G | | F | G |F/G| C | | C | G | F | C | | C | G | F | C | |C/F|F/G| G |G7 | | C | CHORUS C C Am G F C G C G G7 C INTER | C | - | C | F | | F | - | F | G | | G |D7 | - |C7 | | C |C7 | F | C | | C | VERSE 1 C G C C F G C C G C C F C C A7 Dm G F G G G7 VERSE 2 G C C F G C C G C C F C C A7 Dm G F G G G7,1808
Victor Rathnayaka,Premakeerthi De Alwis,D minor | Beat,Golden Oldies,Victor Rathnayaka,අපි හැඟුම් වලට ඉඩදී මොහොතක්‌ ඉඩ ලබාගනිමු තරමින් වියතක්‌ හඳ පානේ මද අඳුරේ අත් පටලා යමු ආයේ අත් පටලා යමු ආයේ ඔබ ඔබෙ හෙවණැල්ලෙන් මිදී මම මගෙ හෙවණැල්ලෙන් මිදී// අවුදින් හිමින් රහසින් මුමුණා හඳ පානේ මද අඳුරේ හඳ පානේ මද අඳුරේ…… හිරකර හසරැල්ලෙන් හැඩුම් අපි හිනැහෙමු සපුරා පැතුම්// මතු ආත්මයේ හමුවෙන පැතුමින් යමු වෙන්වී හිමිදිරියේ හඳ පානේ මද අඳුරේ……,api-hangum-walata,INTRO |Dm | - | - |Dm/A| |Dm | - | - |Dm | | + | + | CHORUS Dm A7 Gm A7 Dm Dm Gm Dm A C Dm Dm A C Dm INTER 1 |Dm |Dm/C|Gm | - | | C | F |Gm/F|Dm | |Dm | - | - |Dm/A| |Dm | - | - |Dm | VERSE 1 Dm Gm A A A7 D D7 G D F A7 Dm INTER 2 |Dm | - |Gm | - | | D |Dm | |Dm | - | - |Dm/A| |Dm | - | - |Dm | VERSE 2 Dm Gm A A A7 D D7 G D F A7 Dm,20082
Milton Mallawarachchi,Premakeerthi De Alwis,A major,Old Pops,Clarence Wijewardena,අවසර නැත මට ඔබෙ අත ගන්නට බැමි බැඳ ඇත ලොව සතර දෙසේ එනමුදු උපදින හැම භවයකදිම මතු ඔබ හිමිකර ගනිමි ලඳේ බමරෙකු වන්නට නොහැකිව ලතවන මා අභියස ඔබ නෙළුම නොවේ උල්පත වන්නට නොහැකිව ලතවන මා අභියස ඔබ සයුර නොවේ ඔහු රිදවන්නට - ඔහු හඬවන්නට බැරිකම මිස ඔබෙ - සිහින ලොවේ ඔබ කැඳවන්නට - ඔබ සතපන්නට මා හද තුල ඉඩ නැතිව නොවේ,awasara-netha-mata,INTRO / INTER | A | - | - | - | | A | - | E | - | | D | - |F#m| - | | G | - | A | - | CHORUS A Bm D E A A Bm D E A VERSE 1 A Bm E D E A VERSE 2 A Bm E D E A,2466
Angelin Gunathilaka,Premakeerthi De Alwis,C major | Beat,Old Pops,Ernest Zoysa,බංගලි වළලු ගෙන එන්නයි පොරොන්දුව දුහුලැල් සාරි ගෙන එන්නයි පොරොන්දුව රන් මිණි මාල පළඳන්නයි පොරොන්දුව එය ඉටු කෙරෙනා කල නාවද ඉතින් තව// යල මහ දෙක වැඩ කරලා ගොයම් කපා බක් මහ එන්න පෙර බැඳෙමුයි තැවෙන්නෙපා ඉක්මන් කතා කී ඇස් දෙක අඬන්නෙපා දැක්මත් සහනයකි ඔබ මගහරින්නෙපා දෙවැට දිරා ගිය රුක් අතු සෙවණ යට ඕවිට අසල දිය උතුරන පොකුණ පිට තාමත් දැණෙනවා ඇඟ ගෑ සුවඳ මට නවතිනු බැරි වුණත් එනු මස්සිනේ ගෙට,bangali-walalu,INTRO | C | - | - | - | |C/F|G/C|C/F|G/C| | C | - | CHORUS C C Bb C F Am C F C INTER |C7 | F |C/F |G/C| |C/F|G/C|C/Bb| C | VERSE 1 C Bb C F C F C G7 C Back To Chorus VERSE 2 C Bb C F C F C G7 C Back To Chorus,760
Amarasiri Peiris,Premakeerthi De Alwis,E minor | Beat,"Classics, Request",Amarasiri Pieris,චාරු දේහේ නුරා මා දෑසේ මැවේ රාත්‍රියේ රෑ සඳේ ඈ සිනා ශ්‍රීය දේ චාරු දේහේ නුරා පිහින පීනා රසෝගේ සරාගී විලේ රාත්‍රි යාමයේ// ඈගේ දෑසේ ප්‍රබෝධේ නුරා ගී නැගේ ජීවිතේ යෞවනේ ප්‍රේමයේ මී වනේ සීත මිහිදුම් වළාවෝ වෙළීලා සඳේ තාරකාවේ// මිහි තලාවේ තුසීතේ මැවේ මා හදේ ජීවිතේ යෞවනේ ප්‍රේමයේ මී වනේ,charu-dehe-nura,INTRO/INTER |Bm | - | D |Bm | | G |Bm |Em |Bm | | D | - |Em | - | | G | D | G | - | |Am |Em |Bm | - | | D |Em | CHORUS Em G D Bm D Em Em INTER | G |Bm |Em |Bm | | D | - |Em |Bm | | G | D | G | - | |Am |Em |Bm | - | | D |Em | VERSE 1 G Am G Am Bm D Bm D Em Back To Chorus VERSE 2 G Am G Am Bm D Bm D Em Back To Chorus,1715
Mervin Perera,Premakeerthi De Alwis,C major | Beat,Old Pops,Mervin Perera,දෙදෙනා පෙරදා හමුවී නොදොඩා නොබලා වෙන් වූ තැන් කරා ආයෙමත් පැමිණිලා// දෙදෙනා දිගු කාලයක් ගෙවී ගියේ එක මොහොතක් ලෙසින්නේ ළඳේ ඒ මොහොත දැන් දිගු කාලයක් ලෙස ආයෙත් ගෙනල්ලා තියේ අද මේ කියූ දේ ඊයේ වුණා නම් අද ඊයේ වේවී ළඳේ ඔබ ආදරෙන් සිනාසුනත් අද අලුතින් උපන් මේ ලොවේ විස ගෑවුනත් මධු පානයක් ලෙස ඈ මා ළඟින් මිහිරියේ අසනු සමා වී ආයේ පමාවී කිසිදාක නොයෙනූ ළඳේ,dedena-perada,INTRO | C | - | F | F | F | G | C | - | | C | G |F/G| C | C | C | CHORUS B C B C B C B C F Bb C	 Bb		C B C INTER | + | C | F | - | - | - | |Eb |Bb | F | - |F/C|C/F| F | F | VERSE 1 F	 Eb Bb			 F (F|Eb|F|F) F		 Eb Bb	 F C		 F C	 Bb	 C |C/B| VERSE 2 F	 Eb Bb			F (F|Eb|F|F) F		Eb Bb	 F C		 F C	 Bb	 C |C/B|,1303
Sunil Edirisinghe,Premakeerthi De Alwis,F minor | Beat,Old Pops,Rohana Weerasingha,දෑවැදි දෙන්නට රන්මසු පොදි නැති ගෙදරට බර වුණු බාල නඟේ නුඹ ගෙනියන්නට ගමෙත් කෙනෙක් නැහැ රටෙත් කෙනෙක් නැහැ බාල නඟේ // විරසක වීලා විරහ අපලයෙන් නුඹෙ ඉරණම නුඹ ළඟට නොයේ නිදිබර දෑසයි දැලි ගෑ මුහුණයි ලිප මුල්ලේ යෞවනය ගෙවේ රන්දම් පැලඳිය යුතු ගෙල වටකර නවගුණ වැල පෝ දිනට බැඳේ දීගෙක ගියදා නුඹට දැනේවී තනිකඩකම කොච්චරද අගේ,dewedi-dennata,INTRO |Fm | - |Fm | - | ||Fm | - |Fm |Bbm| |Eb7|Ab |Eb |Fm || |Fm | - |Fm | - | CHORUS Fm Db Fm Bbm Ab Fm Fm Bbm Eb Ab Fm Eb Db Fm INTER | + |Fm | + |Bbm| |Ab |Fm |Ab |Fm | |Fm | - |Fm | - | |Ab |Eb | VERSE 1 Db Fm Eb Fm Db Ab Eb Fm Db Eb Fm Back To Chorus VERSE 2 Db Fm Eb Fm Db Ab Eb Fm Db Eb Fm Back To Chorus,764
Victor Rathnayaka,Premakeerthi De Alwis,D minor| Beat,"Golden Oldies, Inspirational",Victor Rathnayaka,දෙව්රම් වෙහෙරේ හිමි වැඩ සිටි සමයේ මා සිටියානම් සමිදුනි ඔබ පිළිසරණ පතා මම‍ එමි බවදුරු කතර ගෙවා සහසක් දොම්නස් දුක් ගිනි අතරේ දැවෙන මහද සිතිවිලි ගිණි අදුරේ සමිද ඔබේ පිළිරුව දුටු පමණින් නිවී නිවී යන අරුමය කිමදෝ ජීවමානවම හිමි දැක ගන්නට මා නෙත කල පින් මද බව වැටහිනි එහෙයින් හිමි අනුරුව අභියස සිට බවුන් වඩමි ‍මෙත් බුදුන් දකින්නට,dewram-wehere,INTRO ||Dm | - |Dm | - | | C | - |Dm | - || CHORUS Dm G C Dm C Dm C G D C C G C Dm INTER |Dm | - | | G |Dm | G | F | | C |C/Dm|Dm | - | VERSE 1 Dm C Dm Dm C D G D D C Dm VERSE 2 Dm C Dm Dm C D G D D C Dm,1282
Milton Mallawarachchi,Premakeerthi De Alwis,G major,Old Pops,Victor Rathnayaka,දිනෙක රන් සළු පළඳා සඳ නැගි මේලාවෙන් පැමින ඔබ ගෙනයමි කුමරියෙ පෙම් දෝලාවෙන් // ඇසුරු කළ කම්පන හා සැනසිලි පසමිතුරෑ ගෙවුනු යෙෳවන විය තනි නොතනියෙ උන් අයුරෑ නැවත නොලිහෙන ලෙස රැහැනින් බැඳ දා පවුරු සතුට ගෙන දිය හැකි ඔබ හැර ඇතිදෝ කවුරු වියලි මග මහ වැලි කාන්තාර පසු කරවා පවස සංසිඳවන ලෙස දිය උල්පත හරවා පරව ගිලිහෙන තුරු සියොළඟ කළු සළු පොරවා ඔබය දිය යුතු හිස් වන විට දිවි විත පුරවා,dineka-ransalu,INTRO | G | - | - | - | | G |Am | D | G | | Bm | - | G | - | | GD |CD | G | - | | GC |BmAm| G | - | CHORUS G Em Bm D Am E G INTER 1 & 2 | G | - | - | - | | G | - | - | - | | G | - | - | - | | C | G | D | G | VERSE 1 G Em D C G Em D C G Em D C D Am G |GC| G | VERSE 2 G Em D C G Em D C G Em D C D Am G |GC| G |,1113
Mervin Perera,Premakeerthi De Alwis,C Major | Beat,"Golden Pop, Request","Anuradha Abeysinghe, Mervin Perera",දියළුම දිය ඇලි දිය රැල හා ගල ගල යයි සමුදුර සොයලා හද උපදී ආදරේ සැනසුම් තෙර සොයලා// අද නැති දේ හෙට මා සොයයි හෙට හමු වී යළි ඈ සොයයි ඔබ හමුවේ හද ගී ගයයි ඔබ ඒ ගීතයෙ රාවයයි සසර පුරා ඇසු ගීතයේ රසයේ කිමිදී පැතුසේ සඳවත කුමටද ඔබ නැතිදා හිරු නැග පල නැත ඔබ නැතිදා සඳ හිරු හා ආදරේ මොකටද ඔබ නැති දා පියබර සිතුවිලි මතු අමුණයි සවණට සැනසිලි හඬ මුමුණයි කැළඹෙන මේ ලෝකයේ සහනය ඔබ පමණයි //,diyaluma-diya-eli,INTRO |C/G|F/G|F/Em|Dm/C| | B | - | C | - | | C | - | G | - | | G | - | C | - | CHORUS G F G F C F C F G F G F C F C INTER | C | F | - | - | | F |Em |G7 | C | | C | F | - | - | VERSE C F C|F|C C F C|F|C C F C C F C G C F Em D|G7|C CHORUS 2 G F G F C F C F G F G F C F C CHORUS 3 G F G F C F C F G F G F C F C/Dm/B/C Back To Chorus,826
Milton Mallawarachchi,Premakeerthi De Alwis,A minor,Old Pops,Clarence Wijewardena,එදා රෑ ගුවන් තොටුපොලේ දී මා වෙන් වී ගියේ සිතකින් නොවේ නෑ සිය මිතුරන් පැමිනීලා ආසිරී සුභ පැතුම් පැතුවා ඔබ නාවෙ ඇයි මිහිරියේ මේ වන තුරු රහසක් වී ලා මා සිතේ යම් දෙයක් තිබුනා එය කීමටයි ලතැවුනේ,eda-rae,INTRO / INTER | Am | - | - | - | | G | - | - | - | | E | - | - | - | CHORUS Am G Dm C Am VERSE 1 A D C E Am VERSE 2 A D C E Am,4089
"Amitha Wedisinghe, Mervin Perera",Premakeerthi De Alwis,C major | Beat,"Duets, Golden Pop",Mervin Perera,එක මොහොතක් ඔබ සෙවණේ හිඳින්න‍ට තරම් කල්පයකින් අසුරු සැණක් පමණ නැත වරම්// කඳු ගිරිහෙල් රළු බොරලන පිය මග මනිමි අහසයි පොළොවයි එක්වෙන දවසක් දනිමි// මල් පොකුරක එක නටුවකි ඒ බව සැබවි// එක හිත ගැන හිත් දෙකකින් නොසිතනු මැනවි පිළිවෙලක‍ට නැති ලෙස තරු අහසෙහි අතුරා සඳ පමණක් සළුපිලි ඇඳ එහි වත සපුරා// මග සළකුණු දක්වා හිනැහෙන එලි පතුරා// බැසයනු මිස නොරැඳෙනු මැන ගඟ දිය උතුරා,eka-mohothak,INTRO |C | G | - | F | |F | G |G7 | C | |F |Em |Dm | C | |C/G7| C | CHORUS C		F	 C		Dm Dm	 F	 C INTER |Am | - | - | - | | G |Am | + | |Am | - | G | - | | F | - | E | Am| VERSE 1 Am	 E		 E F	 E Am	 G		 F	 Am (Am/C/G7/C) F	 C 		 G7	 C G	 Dm	 G	 C VERSE 2 Am	 E		 E F	 E Am	 G		 F	 Am (Am/C/G7/C) F	 C 		G7	 C G	 Dm	 G	 C,1239
